,Predictor,hashed_perceptron,ltage_v2,ltage_v3
0,cadical-low-60K-1186B,1.0,1.0000479958312192,1.000013713094634
1,cadical-med-30K-109B,1.0,0.9999794785499542,1.000003420241674
2,cadical-med-30K-1246B,1.0,1.0000176125796088,1.0000070450318437
3,cadical-med-30K-137B,1.0,1.0000732627568776,0.9999877895405205
4,cadical-med-30K-1463B,1.0,1.000031640563202,1.0000421874176026
5,cadical-med-30K-267B,1.0,0.9999414019413191,1.000062045003309
6,cadical-med-30K-831B,1.0,1.0000518349574952,0.9999619876978366
7,kissat-mab-hywalk-low-30K-299B,1.0,0.9999782530690356,1.0000362448849407
8,mean,1.0,1.0000151841465728,1.0000143036672007
